Code,Continent
Afghanistan,Asia
Albania,Europe
Algeria,Africa
Andorra,Europe
Angola,Africa
Antigua and Barbuda,North America
Argentina,South America
Armenia,Europe
Australian Capital TerritoryAustralia,Australia & Oceania
New South WalesAustralia,Australia & Oceania
Northern TerritoryAustralia,Australia & Oceania
QueenslandAustralia,Australia & Oceania
South AustraliaAustralia,Australia & Oceania
TasmaniaAustralia,Australia & Oceania
VictoriaAustralia,Australia & Oceania
Western AustraliaAustralia,Australia & Oceania
Austria,Europe
Azerbaijan,Europe
Bahamas,North America
Bahrain,Asia
Bangladesh,Asia
Barbados,North America
Belarus,Europe
Belgium,Europe
Belize,North America
Benin,Africa
Bhutan,Asia
Bolivia,South America
Bosnia and Herzegovina,Europe
Botswana,Africa
Brazil,South America
Brunei,Asia
Bulgaria,Europe
Burkina Faso,Africa
Burma,Asia
Burundi,Africa
Cabo Verde,Africa
Cambodia,Asia
Cameroon,Africa
AlbertaCanada,North America
British ColumbiaCanada,North America
Grand PrincessCanada,North America
ManitobaCanada,North America
New BrunswickCanada,North America
Newfoundland and LabradorCanada,North America
Nova ScotiaCanada,North America
OntarioCanada,North America
Prince Edward IslandCanada,North America
QuebecCanada,North America
SaskatchewanCanada,North America
Northwest TerritoriesCanada,North America
YukonCanada,North America
Central African Republic,Africa
Chad,Africa
Chile,South America
AnhuiChina,Asia
BeijingChina,Asia
ChongqingChina,Asia
FujianChina,Asia
GansuChina,Asia
GuangdongChina,Asia
GuangxiChina,Asia
GuizhouChina,Asia
HainanChina,Asia
HebeiChina,Asia
HeilongjiangChina,Asia
HenanChina,Asia
Hong KongChina,Asia
HubeiChina,Asia
HunanChina,Asia
Inner MongoliaChina,Asia
JiangsuChina,Asia
JiangxiChina,Asia
JilinChina,Asia
LiaoningChina,Asia
MacauChina,Asia
NingxiaChina,Asia
QinghaiChina,Asia
ShaanxiChina,Asia
ShandongChina,Asia
ShanghaiChina,Asia
ShanxiChina,Asia
SichuanChina,Asia
TianjinChina,Asia
TibetChina,Asia
XinjiangChina,Asia
YunnanChina,Asia
ZhejiangChina,Asia
Colombia,South America
Congo (Brazzaville),Africa
Congo (Kinshasa),Africa
Costa Rica,North America
Cote d'Ivoire,Africa
Croatia,Europe
Cuba,North America
Cyprus,Europe
Czechia,Europe
Faroe IslandsDenmark,Europe
GreenlandDenmark,North America
Denmark,Europe
Djibouti,Africa
Dominica,North America
Dominican Republic,North America
Ecuador,South America
Egypt,Africa
El Salvador,North America
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,Europe
Eswatini,Africa
Ethiopia,Africa
Fiji,Australia & Oceania
Finland,Europe
French GuianaFrance,South America
French PolynesiaFrance,Australia & Oceania
GuadeloupeFrance,North America
MayotteFrance,Africa
New CaledoniaFrance,Australia & Oceania
ReunionFrance,Africa
Saint BarthelemyFrance,North America
St MartinFrance,North America
MartiniqueFrance,North America
France,Europe
Saint Pierre and MiquelonFrance,North America
Gabon,Africa
Gambia,Africa
Georgia,Europe
Germany,Europe
Ghana,Africa
Greece,Europe
Grenada,North America
Guatemala,North America
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haiti,North America
Holy See,Asia
Honduras,North America
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Ireland,Europe
Israel,Asia
Italy,Europe
Jamaica,North America
Japan,Asia
Jordan,Asia
Kazakhstan,Europe
Kenya,Africa
"Korea, South",Asia
Kosovo,Europe
Kuwait,Asia
Kyrgyzstan,Asia
Laos,Asia
Latvia,Europe
Lebanon,Asia
Liberia,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Moldova,Europe
Monaco,Europe
Mongolia,Asia
Montenegro,Europe
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Nepal,Asia
ArubaNetherlands,North America
CuracaoNetherlands,North America
Sint MaartenNetherlands,North America
Netherlands,Europe
"Bonaire, Sint Eustatius and SabaNetherlands",North America
New Zealand,Australia & Oceania
Nicaragua,North America
Niger,Africa
Nigeria,Africa
North Macedonia,Europe
Norway,Europe
Oman,Asia
Pakistan,Asia
Panama,North America
Papua New Guinea,Australia & Oceania
Paraguay,South America
Peru,South America
Philippines,Asia
Poland,Europe
Portugal,Europe
Qatar,Asia
Romania,Europe
Russia,Europe
Rwanda,Africa
Saint Kitts and Nevis,North America
Saint Lucia,North America
Saint Vincent and the Grenadines,North America
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Slovakia,Europe
Slovenia,Europe
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Suriname,South America
Sweden,Europe
Switzerland,Europe
Syria,Asia
Taiwan*,Asia
Tanzania,Africa
Thailand,Asia
Timor-Leste,Asia
Togo,Africa
Trinidad and Tobago,North America
Tunisia,Africa
Turkey,Europe
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Asia
BermudaUnited Kingdom,North America
Cayman IslandsUnited Kingdom,North America
Channel IslandsUnited Kingdom,Europe
GibraltarUnited Kingdom,Europe
Isle of ManUnited Kingdom,Europe
MontserratUnited Kingdom,North America
United Kingdom,Europe
AnguillaUnited Kingdom,North America
British Virgin IslandsUnited Kingdom,North America
Turks and Caicos IslandsUnited Kingdom,North America
Falkland Islands (Malvinas)United Kingdom,South America
Uruguay,South America
US,North America
Uzbekistan,Asia
Venezuela,South America
Vietnam,Asia
West Bank and Gaza,Asia
Western Sahara,Africa
Yemen,Asia
Zambia,Africa
Zimbabwe,Africa
